,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
54,日本,鬼滅之刃劇場版 無限列車篇,2020-10-30T00:00:00,木棉花國際股份有限公司,Aniplex Inc.,89,57087,0.077499481,16793059,2486315,598344379,20_1228-0103,122637145
55,中華民國,愛在午夜希臘時,2013-07-19T00:00:00,采昌國際多媒體股份有限公司,"IM Global, LLC",1,100,-0.367088608,22885,1440,318265,20_1228-0103,122637145
56,馬來西亞,你是豬,2020-11-20T00:00:00,華映娛樂股份有限公司,NSP ENTERTAINMENT SDN BHD,1,24,-0.2,5980,7394,1696480,20_1228-0103,122637145
57,韓國,綠洲：數位經典版,2020-11-06T00:00:00,光年映畫有限公司,"FINECUT CO., LTD.",2,38,-0.644859813,8950,4582,1030665,20_1228-0103,122637145
58,伊朗,緝毒風暴,2020-11-27T00:00:00,捷傑有限公司,Iranian Independents,1,19,-0.595744681,3950,2249,512500,20_1228-0103,122637145
59,法國,85年的夏天,2020-12-18T00:00:00,好威映象有限公司,Playtime,11,450,-0.60106383,102075,2416,536387,20_1228-0103,122637145
60,匈牙利,怵目驚魂28天,2020-12-11T00:00:00,本萃電影有限公司,GEM ENTERTAINMENT KFT,1,19,-0.836206897,4735,1315,305660,20_1228-0103,122637145
61,日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020-11-20T00:00:00,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,18,1348,-0.252771619,335335,102866,24519277,20_1228-0103,122637145
62,美國,入魔,2020-10-30T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,5,356,0.09202454,29200,11286,2429683,20_1228-0103,122637145
63,中華民國,愛在日落巴黎時,2004-11-26T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,143,-0.406639004,32495,2813,628499,20_1228-0103,122637145
64,中華民國,愛在黎明破曉時,1996-02-22T00:00:00,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,106,-0.533039648,23645,2906,652240,20_1228-0103,122637145
65,日本,GIVEN~被贈與的未來 劇場版,2020-11-06T00:00:00,水元素文化傳媒有限公司,SPO Entertainment Inc.,4,77,-0.324561404,19386,17981,4491502,20_1228-0103,122637145
66,美國,我的媽媽開GAYBAR   ,2020-11-13T00:00:00,海樂影業股份有限公司,"Film Mode Entertainment, LLC.",2,100,2.333333333,15720,1747,382433,20_1228-0103,122637145
67,美國,愛麗絲與夢幻島,2020-11-12T00:00:00,香港商甲上娛樂有限公司台灣分公司,"CAPSTONE GROUP , LLC",3,244,1,15460,21851,5051110,20_1228-0103,122637145
68,哥倫比亞,總是有個人在愛你,2020-12-18T00:00:00,海鵬影業有限公司,KINOLOGY,7,80,-0.808153477,16140,895,180415,20_1228-0103,122637145
69,美國,靈魂急轉彎 (英文版),2020-12-25T00:00:00,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",97,178697,1.073724644,42907723,264869,63564768,20_1228-0103,122637145
70,波蘭,只有悲傷才是美麗的,2020-12-04T00:00:00,海鵬影業有限公司,INTRAMOVIES SRL,1,13,-0.5,2880,1367,284355,20_1228-0103,122637145
71,越南,人性爆走課,2020-12-11T00:00:00,政駒實業有限公司,"FINECUT CO., LTD.",1,7,-0.794117647,1770,691,154726,20_1228-0103,122637145
72,日本,尋找小魔女Doremi,2020-11-27T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",14,462,-0.619126134,108084,59024,13961060,20_1228-0103,122637145
